Date,direction_cardinal,Direction,Speed,,,
"Tuesday, 18 April 2023",E,0,22,,,
"Wednesday, 19 April 2023",SSW,247.5,28,,,
"Friday, 21 April 2023",SSW,247.5,33,,,
"Saturday, 22 April 2023",S,270,33,,,
"Sunday, 23 April 2023",ESE,337.5,41,,,
"Monday, 24 April 2023",ESE,337.5,33,,,
"Tuesday, 25 April 2023",ENE,22.5,26,,,
"Wednesday, 26 April 2023",ENE,22.5,35,,,
"Thursday, 27 April 2023",ENE,22.5,37,,,
"Friday, 28 April 2023",NNE,67.5,31,,,
"Saturday, 29 April 2023",WNW,157.5,41,,,
"Sunday, 30 April 2023",WSW,202.5,39,,,
"Monday, 1 May 2023",W,180,33,,,
"Tuesday, 2 May 2023",W,180,46,,,
"Wednesday, 3 May 2023",W,180,65,,,
"Thursday, 4 May 2023",W,180,48,,,
"Friday, 5 May 2023",ENE,22.5,30,,,
"Saturday, 6 May 2023",W,180,31,,,
"Sunday, 7 May 2023",W,180,76,,,
"Monday, 8 May 2023",W,180,67,,,
"Tuesday, 9 May 2023",SSW,247.5,46,,,
"Wednesday, 10 May 2023",W,180,30,,,
"Thursday, 11 May 2023",W,180,26,,,
"Friday, 12 May 2023",W,180,20,,,
"Saturday, 13 May 2023",SSE,292.5,30,,,
"Sunday, 14 May 2023",ESE,337.5,26,,,
"Monday, 15 May 2023",E,0,30,,,
"Tuesday, 16 May 2023",SSW,247.5,46,,,
"Wednesday, 17 May 2023",SSW,247.5,54,,,
"Thursday, 18 May 2023",SSW,247.5,41,,,
"Friday, 19 May 2023",W,180,35,,,
"Saturday, 20 May 2023",W,180,39,,,
"Sunday, 21 May 2023",WSW,202.5,74,,,
"Monday, 22 May 2023",W,180,35,,,
"Tuesday, 23 May 2023",WNW,157.5,26,,,
"Wednesday, 24 May 2023",W,180,28,,,
"Thursday, 25 May 2023",NNW,112.5,26,,,
"Friday, 26 May 2023",SSE,292.5,61,,,
"Saturday, 27 May 2023",W,180,37,,,
"Sunday, 28 May 2023",W,180,35,,,
"Monday, 29 May 2023",W,180,44,,,
"Tuesday, 30 May 2023",W,180,33,,,
"Wednesday, 31 May 2023",W,180,22,,,
"Thursday, 1 June 2023",SSW,247.5,28,,,
"Friday, 2 June 2023",WNW,157.5,24,,,
"Saturday, 3 June 2023",SSE,292.5,35,,,
"Sunday, 4 June 2023",S,270,35,,,
"Monday, 5 June 2023",ENE,22.5,37,,,
"Tuesday, 6 June 2023",ENE,22.5,22,,,
"Wednesday, 7 June 2023",NNE,67.5,37,,,
"Thursday, 8 June 2023",N,90,31,,,
"Friday, 9 June 2023",W,180,43,,,
"Saturday, 10 June 2023",WSW,202.5,33,,,
"Sunday, 11 June 2023",W,180,26,,,
"Monday, 12 June 2023",W,180,28,,,
"Tuesday, 13 June 2023",WSW,202.5,46,,,
"Wednesday, 14 June 2023",W,180,48,,,
"Thursday, 15 June 2023",W,180,33,,,
"Friday, 16 June 2023",W,180,24,,,
"Saturday, 17 June 2023",NNW,112.5,24,,,
"Sunday, 18 June 2023",WNW,157.5,48,,,
"Monday, 19 June 2023",WSW,202.5,46,,,
"Tuesday, 20 June 2023",W,180,43,,,
"Wednesday, 21 June 2023",W,180,33,,,
"Thursday, 22 June 2023",W,180,26,,,
"Friday, 23 June 2023",NW,135,50,,,
"Saturday, 24 June 2023",WNW,157.5,31,,,
"Sunday, 25 June 2023",W,180,61,,,
"Monday, 26 June 2023",W,180,67,,,
"Tuesday, 27 June 2023",W,180,37,,,
"Wednesday, 28 June 2023",W,180,30,,,
"Thursday, 29 June 2023",W,180,39,,,
"Friday, 30 June 2023",W,180,46,,,
"Saturday, 1 July 2023",W,180,41,,,
"Sunday, 2 July 2023",SSE,292.5,33,,,
"Monday, 3 July 2023",W,180,26,,,
"Tuesday, 4 July 2023",N,90,22,,,
"Wednesday, 5 July 2023",W,180,26,,,
"Thursday, 6 July 2023",NW,135,37,,,
"Friday, 7 July 2023",W,180,41,,,
"Saturday, 8 July 2023",NW,135,69,,,
